depth	min	max	median	mean
10	-45	149	14	23
20	-36	340	69	90
26	9	420	153	167
34	38	624	250	270
42	93	850	351	383
47	150	920	456	474
55	203	1101	607	618
65	340	1326	788	801
75	466	1465	998	986
84	670	1624	1162	1154
95	962	1743	1358	1361
105	1151	1949	1560	1563
118	1315	2527	1810	1845
128	1505	2760	2045	2070
133	1568	2856	2174	2183
140	1627	3097	2334	2342
150	1877	3209	2572	2563
160	2023	3414	2807	2784
173	2472	3540	3095	3072
179	2577	3667	3235	3205
187	2790	3763	3376	3349
200	2992	4076	3586	3575
210	3138	4227	3714	3709
225	3302	4540	3898	3907
245	3496	4896	4154	4165
262	3667	5175	4365	4385
285	3916	5518	4661	4679
300	4060	5741	4854	4869
322	4308	6030	5144	5149
350	4663	6389	5499	5507
376	4981	6720	5838	5837
400	5283	7015	6147	6146
424	5633	7269	6452	6454
450	6044	7554	6780	6781
475	6420	7860	7087	7096
495	6808	8071	7321	7349
512	7093	8341	7571	7610
